,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
94,Djibouti,"1,120",+4,2 ,,745,373,,"1,134",2,"14,378","14,553",Africa
95,Hong Kong,"1,041",,4 ,,920,117,1,139,0.5,"154,989","20,674",Asia
96,Tunisia,"1,022",+4,43 ,,482,497,17,86,4,"25,165","2,129",Africa
97,Latvia,896,,17 ,+1,348,531,4,475,9,"66,150","35,071",Europe
98,Cyprus,878,+4,15 ,,296,567,15,727,12,"66,975","55,472",Asia
99,Kyrgyzstan,843,+13,11 ,+1,600,232,13,129,2,"56,488","8,658",Asia
100,Somalia,835,+79,38 ,+3,75,722,2,53,2,,,Africa
101,Albania,820,+17,31 ,,570,219,7,285,11,"9,276","3,223",Europe
102,Sudan,778,+100,45 ,+4,70,663,,18,1,,,Africa
103,Sri Lanka,771,+20,9 ,+1,213,549,1,36,0.4,"26,842","1,254",Asia
104,Niger,763,+8,38 ,+1,543,182,,32,2,"5,375",222,Africa
105,Costa Rica,755,+13,6 ,,413,336,5,148,1,"14,121","2,772",North America
106,Andorra,751,+1,46 ,+1,514,191,16,"9,720",595,"1,673","21,653",Europe
107,Lebanon,741,+1,25 ,,206,510,43,109,4,"42,488","6,225",Asia
108,Mayotte,739,+53,9 ,+3,352,378,6,"2,709",33,"3,400","12,463",Africa
109,Guatemala,730,+27,19 ,+2,79,632,5,41,1,"7,200",402,North America
110,Diamond Princess,712,,13 ,,645,54,4,,,,,
111,DRC,705,+23,34 ,,90,581,,8,0.4,,,Africa
112,Burkina Faso,688,+16,48 ,+2,548,92,,33,2,,,Africa
113,Uruguay,670,+13,17 ,,468,185,10,193,5,"23,811","6,855",South America
114,Mali,612,+32,32 ,+3,228,352,,30,2,"2,172",107,Africa
115,Georgia,604,+11,9 ,,240,355,6,151,2,"20,579","5,159",Asia
116,San Marino,589,+7,41 ,,92,456,5,"17,359","1,208","2,538","74,799",Europe
117,El Salvador,587,+32,13 ,,201,373,3,90,2,"30,387","4,685",North America
118,Maldives,573,+32,2 ,+1,20,551,2,"1,060",4,"9,863","18,246",Asia
119,Channel Islands,544,,41 ,,406,97,,"3,129",236,"5,342","30,725",Europe
120,Kenya,535,+45,24 ,,182,329,2,10,0.4,"24,784",461,Africa
121,Malta,482,+2,5 ,+1,403,74,1,"1,092",11,"36,945","83,672",Europe
122,Tanzania,480,,16 ,,167,297,7,8,0.3,,,Africa
123,Jamaica,471,+2,9 ,,49,413,2,159,3,"5,830","1,969",North America
124,Jordan,471,+6,9 ,,375,87,5,46,0.9,"91,666","8,984",Asia
125,Taiwan,438,,6 ,,334,98,,18,0.3,"64,958","2,727",Asia
126,Paraguay,431,+35,10 ,,135,286,7,60,1,"11,913","1,670",South America
127,Réunion,424,, ,,300,124,2,474,,,,Africa
128,Guinea-Bissau,413,,1 ,,19,393,,210,0.5,"1,500",762,Africa
129,Gabon,397,+30,6 ,,93,298,1,178,3,724,325,Africa
130,Palestine,371,+9,2 ,,127,242,,73,0.4,"32,200","6,312",Asia
131,Venezuela,361,+4,10 ,,158,193,1,13,0.4,"482,953","16,984",South America
132,Mauritius,332,,10 ,,319,3,3,261,8,"18,959","14,908",Africa
133,Isle of Man,326,+1,23 ,,271,32,19,"3,834",270,"3,459","40,678",Europe
134,Montenegro,324,+1,8 ,,253,63,2,516,13,"7,816","12,445",Europe
135,Equatorial Guinea,315,,3 ,,13,299,,225,2,854,609,Africa
136,Tajikistan,293,+63,5 ,+2,,288,,31,0.5,,,Asia
137,Vietnam,271,, ,,232,39,8,3,,"261,004","2,681",Asia
138,Rwanda,261,, ,,129,132,,20,,"35,992","2,779",Africa
139,Congo,236,,10 ,,26,200,,43,2,,,Africa
140,Sierra Leone,199,+21,11 ,+2,43,145,,25,1,,,Africa
141,Faeroe Islands,187,, ,,185,2,,"3,827",,"8,157","166,936",Europe
142,Cabo Verde,186,+11,2 ,,37,147,,335,4,791,"1,423",Africa
143,Martinique,181,,14 ,,83,84,5,482,37,,,North America
144,Sao Tome and Principe,174,+151,3 ,,4,167,,794,14,175,799,Africa
145,Liberia,170,+4,20 ,+2,58,92,,34,4,,,Africa
146,Chad,170,+53,17 ,+7,43,110,,10,1,,,Africa
147,Myanmar,161,,6 ,,49,106,,3,0.1,"9,037",166,Asia
148,Guadeloupe,152,,12 ,,98,42,5,380,30,,,North America
149,Madagascar,151,+2, ,,101,50,1,5,,"3,861",139,Africa
150,Ethiopia,145,+5,4 ,+1,91,50,,1,0.03,"25,135",219,Africa
151,Gibraltar,144,, ,,133,11,,"4,274",,"2,931","86,997",Europe
152,Zambia,138,+1,3 ,,92,43,1,8,0.2,"7,277",396,Africa
153,Brunei ,138,,1 ,,131,6,2,315,2,"14,610","33,396",Asia
154,French Guiana,133,,1 ,,100,32,2,445,3,,,South America
155,Togo,128,+2,9 ,,74,45,,15,1,"7,896",954,Africa
156,Cambodia,122,, ,,120,2,1,7,,"12,461",745,Asia
157,Eswatini,119,+3,1 ,,12,106,,103,0.9,714,615,Africa
158,Trinidad and Tobago,116,,8 ,,102,6,,83,6,"2,071","1,480",North America
159,Bermuda,115,,7 ,,54,54,4,"1,847",112,"3,270","52,507",North America
160,Haiti,101,+1,12 ,+1,10,79,,9,1,"1,037",91,North America
161,Aruba,101,+1,2 ,,82,17,4,946,19,"1,780","16,672",North America
162,Uganda,98,+1, ,,55,43,,2,,"41,478",907,Africa
163,Benin,96,,2 ,,50,44,,8,0.2,,,Africa
164,Monaco,95,,4 ,,81,10,1,"2,421",102,,,Europe
165,Guyana,92,,9 ,,27,56,3,117,11,579,736,South America
166,Bahamas,89,+6,11 ,,26,52,1,226,28,"1,485","3,776",North America
167,CAR,85,, ,,10,75,,18,,"3,498",724,Africa
168,Barbados,82,,7 ,,47,28,4,285,24,"2,549","8,870",North America
169,Liechtenstein,82,,1 ,,55,26,,"2,151",26,900,"23,605",Europe
